,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum
0,Aceh,2010,71.7,6.96,20.98,22450.14,22450.14,101545.24,101545.24,8.37,1300000.0
1,Aceh,2011,72.16,3.79,19.57,23428.63,22704.8,108217.63,104874.21,9.0,1350000.0
2,Aceh,2012,67.81,4.3,19.46,24294.69,23099.13,114552.08,108914.9,9.06,1400000.0
3,Aceh,2013,68.3,8.38,17.72,25218.83,23228.59,121331.13,111755.83,10.12,1550000.0
4,Aceh,2014,68.81,8.36,16.98,26065.08,23129.04,127897.07,113490.36,9.02,1750000.0
5,Aceh,2015,69.45,3.35,17.11,25808.45,22524.31,129092.66,112665.53,9.93,1900000.0
6,Aceh,2016,70.0,3.02,16.43,26851.88,22835.29,136843.82,116374.3,7.57,2118500.0
7,Aceh,2017,70.6,3.61,15.92,28096.71,23362.9,145806.92,121240.98,6.57,2500000.0
8,Aceh,2018,71.19,3.13,15.68,29521.25,24013.79,155910.98,126824.37,6.34,2700000.0
9,Aceh,2019,71.9,2.72,15.32,30879.06,24842.3,164162.98,132069.62,6.17,2916810.0
10,Aceh,2020,71.99,1.68,14.99,31633.38,25018.28,166372.32,131580.97,6.59,3165031.0
11,Bali,2010,72.28,6.96,4.88,23992.63,23992.63,93749.35,93749.35,3.06,829316.0
12,Bali,2011,72.84,3.79,4.2,26433.49,25265.96,104612.19,99991.63,2.95,890000.0
13,Bali,2012,71.62,4.3,4.18,29443.59,26689.58,117987.4,106951.46,2.1,967500.0
14,Bali,2013,72.09,8.38,4.49,33135.15,28129.67,134407.53,114103.58,1.83,1181000.0
15,Bali,2014,72.48,8.36,4.76,38099.86,29668.9,156395.73,121787.57,1.9,1542600.0
16,Bali,2015,73.27,3.35,5.25,42480.08,31093.61,176412.67,129126.56,1.99,1621172.0
17,Bali,2016,73.65,3.02,4.15,46211.04,32689.09,194089.58,137296.45,1.89,1807600.0
18,Bali,2017,74.3,3.61,4.14,50167.07,34129.84,213035.86,144933.31,1.48,1956727.0
19,Bali,2018,74.77,3.13,3.91,54433.46,35896.35,233636.77,154072.66,1.4,2127157.0
20,Bali,2019,75.38,2.72,3.79,57755.96,37297.5,251934.1,162693.36,1.57,2297969.0
21,Bali,2020,75.5,1.68,3.78,52015.45,34216.52,224225.72,147498.94,5.63,2494000.0
22,Banten,2010,70.48,6.96,7.16,25397.65,25397.65,271465.28,271465.28,13.68,955300.0
23,Banten,2011,70.95,3.79,6.32,27977.01,26548.94,306174.29,290545.84,13.74,1000000.0
24,Banten,2012,68.92,4.3,5.85,30202.44,27716.47,338224.93,310385.59,9.94,1042000.0
25,Banten,2013,69.47,8.38,5.89,32991.61,28910.66,377836.08,331099.11,9.54,1170000.0
26,Banten,2014,69.89,8.36,5.51,36629.18,29846.64,428740.07,349351.23,9.07,1325000.0
27,Banten,2015,70.27,3.35,5.75,40091.23,30813.03,479300.44,368377.2,9.55,1600000.0
28,Banten,2016,70.96,3.02,5.36,42439.73,31781.56,517898.34,387835.09,8.92,1784000.0
29,Banten,2017,71.42,3.61,5.59,45275.58,32947.6,563597.7,410137.0,9.28,1931180.0
30,Banten,2018,71.95,3.13,5.25,48370.15,34183.75,613804.41,433782.71,8.47,2099385.0
31,Banten,2019,72.44,2.72,5.09,52013.99,35913.9,661321.34,456620.03,8.11,2267990.0
32,Banten,2020,72.45,1.68,5.92,52729.4,37165.16,625895.38,441148.58,10.64,2460997.0
33,Bengkulu,2010,72.92,6.96,18.3,16463.68,16463.68,28352.57,28352.57,4.59,780000.0
34,Bengkulu,2011,73.4,3.79,17.5,18368.8,17282.27,32199.71,30295.05,3.46,815000.0
35,Bengkulu,2012,66.61,4.3,17.7,20298.91,18143.51,36207.68,32363.04,3.62,930000.0
36,Bengkulu,2013,67.5,8.38,17.75,22358.05,18919.3,40565.49,34326.37,4.61,1200000.0
37,Bengkulu,2014,68.06,8.36,17.09,24604.4,19626.72,45389.9,36207.15,3.47,1350000.0
38,Bengkulu,2015,68.59,3.35,17.16,26845.61,20302.48,50334.02,38066.01,4.91,1500000.0
39,Bengkulu,2016,69.33,3.02,17.03,29076.22,21039.84,55384.17,40076.54,3.3,1605000.0
