Provinsi,2010 GRDP,2011 GRDP,2012 GRDP,2013 GRDP,2014 GRDP,2015 GRDP,2016 GRDP,2017 GRDP,2018 GRDP,2019 GRDP,2020 GRDP,2010 IPM,2011 IPM,2012 IPM,2013 IPM,2014 IPM,2015 IPM,2016 IPM,2017 IPM,2018 IPM,2019 IPM,2020 IPM,2010 Pengangguran,2011 Pengangguran,2012 Pengangguran,2013 Pengangguran,2014 Pengangguran,2015 Pengangguran,2016 Pengangguran,2017 Pengangguran,2018 Pengangguran,2019 Pengangguran,2020 Pengangguran,2010 Inflasi,2011 Inflasi,2012 Inflasi,2013 Inflasi,2014 Inflasi,2015 Inflasi,2016 Inflasi,2017 Inflasi,2018 Inflasi,2019 Inflasi,2020 Inflasi,2010 Kemiskinan,2011 Kemiskinan,2012 Kemiskinan,2013 Kemiskinan,2014 Kemiskinan,2015 Kemiskinan,2016 Kemiskinan,2017 Kemiskinan,2018 Kemiskinan,2019 Kemiskinan,2020 Kemiskinan,Investasi
Aceh,22450.14,22704.8,23099.13,23228.59,23129.04,22524.31,22835.29,23362.9,24013.79,24842.3,25018.28,"71,70","72,16",67.81,68.3,68.81,69.45,70,70.6,71.19,71.9,"71,99",8.37,9,9.06,10.12,9.02,9.93,7.57,6.57,6.34,6.17,6.59,,,,,,,,,,,,"20,98","19,57","19,46","17,72",16.98,17.11,16.43,15.92,15.68,15.32,14.99,
Sumatera Utara,25412.07,26711.24,28036.88,29339.21,30477.07,31637.41,32885.09,34183.58,35570.5,36853.59,36175.16,"74,19","74,65",67.74,68.36,68.87,69.51,70,70.57,71.18,71.74,"71,77",7.43,8.18,6.28,6.45,6.23,6.71,5.84,5.6,5.55,5.39,6.91,,,,,,,,,,,,"11,31","11,33","10,67","10,39",9.85,10.79,10.27,9.28,8.94,8.83,8.75,
Sumatera Barat,21584.91,22638.75,23744.01,24857.64,25982.83,27080.76,28164.93,29312.17,30470.8,31427.29,30696.21,"73,78","74,28",68.36,68.91,69.36,69.98,70.73,71.24,71.73,72.39,"72,38",6.95,8.02,6.65,7.02,6.5,6.89,5.09,5.58,5.66,5.38,6.88,,,,,,,,,,,,"9,50","9,04","8,19","7,56",6.89,6.71,7.14,6.75,6.55,6.42,6.28,
Riau,69701.03,71637.89,72396.34,72297.05,72390.88,70769.78,70569.36,70740.43,70736.77,72509.14,76884.74,"76,07","76,53",69.15,69.91,70.33,70.84,71.2,71.79,72.44,73,"72,71",8.72,6.09,4.37,5.48,6.56,7.83,7.43,6.22,5.98,5.76,6.32,,,,,,,,,,,,"8,65","8,47","8,22","8,42",7.99,8.82,7.67,7.41,7.21,7.08,6.82,
Jambi,29160.16,30856.66,32417.72,34012.1,35878.09,36753.52,37728.8,38833.87,40025.52,41812.35,41926.04,"72,74","73,30",66.94,67.76,68.24,68.89,69.62,69.99,70.65,71.26,"71,29",5.39,4.63,3.2,4.76,5.08,4.34,4,3.87,3.73,4.06,5.13,,,,,,,,,,,,"8,34","8,65","8,42","8,42",8.39,9.12,8.37,7.9,7.85,7.6,7.58,
Sumatera Selatan,25932,27157.98,28577.89,29656.76,30636.27,31549.3,32699.5,34059.71,35659.82,37125.75,37323.24,"72,95","73,42",65.79,66.16,66.75,67.46,68.24,68.86,69.39,70.02,"70,01",6.65,6.6,5.66,4.84,4.96,6.07,4.31,4.39,4.27,4.53,5.51,,,,,,,,,,,,"15,47","14,24","13,78","14,06",13.62,13.77,13.39,13.1,12.82,12.71,12.66,
Bengkulu,16463.68,17282.27,18143.51,18919.3,19626.72,20302.48,21039.84,21751.64,22494.84,23504.53,23105.92,"72,92","73,40",66.61,67.5,68.06,68.59,69.33,69.95,70.64,71.21,"71,40",4.59,3.46,3.62,4.61,3.47,4.91,3.3,3.74,3.35,3.26,4.07,,,,,,,,,,,,"18,30","17,50","17,70","17,75",17.09,17.16,17.03,15.59,15.41,15.23,15.03,
Lampung,19722.39,20739.31,21794.83,22770.68,23647.27,24581.78,25568.57,26614.88,27736.26,28894.5,26746.64,"71,42","71,94",64.87,65.73,66.42,66.95,67.65,68.25,69.02,69.57,"69,69",5.57,6.38,5.2,5.69,4.79,5.14,4.62,4.33,4.04,4.03,4.67,,,,,,,,,,,,"18,94","16,93","16,18","14,39",14.21,13.53,13.86,13.04,13.01,12.62,12.34,
Kepulauan Bangka Belitung,28906.78,30212.18,31172.42,32081.3,32859.64,33480.38,34132.87,34933.52,35762.04,37173.14,36307.61,"72,86","73,37",67.21,67.92,68.27,69.05,69.55,69.99,70.67,71.3,"71,47",5.63,3.86,3.43,3.65,5.14,6.29,2.6,3.78,3.61,3.58,5.25,,,,,,,,,,,,"6,51","5,75","5,53","5,25",4.97,4.83,5.04,5.3,4.77,4.62,4.53,
Kepulauan Riau,65703.34,68024.21,70930,73743.33,76313.81,78625.43,80295.6,79743.68,81206.2,81138.52,85012.58,"75,07","75,78",72.36,73.02,73.4,73.75,73.99,74.45,74.84,75.48,"75,59",6.9,5.38,5.08,5.63,6.69,6.2,7.69,7.16,8.04,7.5,10.34,,,,,,,,,,,,"8,05","7,40","7,11","6,35",6.40,5.78,5.84,6.13,5.83,5.9,5.92,
