Provinsi,Tahun,IPM,Inflasi,Kemiskinan,Upah Minimum,PDRB_ADHB,PDRB_ADHK,PDRBK_ADHB,PDRBK_ADHK
Aceh,2026,,,,,,,,
Aceh,2027,,,,,,,,
Aceh,2028,,,,,,,,
Aceh,2029,,,,,,,,
Aceh,2030,,,,,,,,
Bali,2026,,,,,,,,
Bali,2027,,,,,,,,
Bali,2028,,,,,,,,
Bali,2029,,,,,,,,
Bali,2030,,,,,,,,
Banten,2026,,,,,,,,
Banten,2027,,,,,,,,
Banten,2028,,,,,,,,
Banten,2029,,,,,,,,
Banten,2030,,,,,,,,
Bengkulu,2026,,,,,,,,
Bengkulu,2027,,,,,,,,
Bengkulu,2028,,,,,,,,
Bengkulu,2029,,,,,,,,
Bengkulu,2030,,,,,,,,
DI Yogyakarta,2026,,,,,,,,
DI Yogyakarta,2027,,,,,,,,
DI Yogyakarta,2028,,,,,,,,
DI Yogyakarta,2029,,,,,,,,
DI Yogyakarta,2030,,,,,,,,
DKI Jakarta,2026,,,,,,,,
DKI Jakarta,2027,,,,,,,,
DKI Jakarta,2028,,,,,,,,
DKI Jakarta,2029,,,,,,,,
DKI Jakarta,2030,,,,,,,,
Gorontalo,2026,,,,,,,,
Gorontalo,2027,,,,,,,,
Gorontalo,2028,,,,,,,,
Gorontalo,2029,,,,,,,,
Gorontalo,2030,,,,,,,,
Indonesia,2026,,,,,,,,
Indonesia,2027,,,,,,,,
Indonesia,2028,,,,,,,,
Indonesia,2029,,,,,,,,
Indonesia,2030,,,,,,,,
Jambi,2026,,,,,,,,
Jambi,2027,,,,,,,,
Jambi,2028,,,,,,,,
Jambi,2029,,,,,,,,
Jambi,2030,,,,,,,,
Jawa Barat,2026,,,,,,,,
Jawa Barat,2027,,,,,,,,
Jawa Barat,2028,,,,,,,,
Jawa Barat,2029,,,,,,,,
Jawa Barat,2030,,,,,,,,
Jawa Tengah,2026,,,,,,,,
Jawa Tengah,2027,,,,,,,,
Jawa Tengah,2028,,,,,,,,
Jawa Tengah,2029,,,,,,,,
