,Provinsi,Tahun,IPM,Inflasi,Kemiskinan,PDRBK_ADHB,PDRBK_ADHK,PDRB_ADHB,PDRB_ADHK,Pengangguran,Upah Minimum,Actual_Poverty,Predicted_Poverty,Difference,Original_Index
294,Riau,2018,72.44,3.13,7.21,110384.9,70736.77,752263.07,482064.63,5.98,2464154.0,7.21,7.258739732568921,-0.04873973256892139,294
266,Papua,2012,55.55,4.3,31.11,37935.01,36280.03,112812.56,107890.94,3.71,1585000.0,31.110000000000003,29.542513667779595,1.5674863322204082,266
270,Papua,2016,58.05,3.02,28.4,54002.15,44342.14,173208.86,142224.93,3.35,2435000.0,28.4,27.433261409728193,0.966738590271806,270
148,Kalimantan Selatan,2015,68.38,3.35,4.72,34351.69,27786.68,137056.12,110863.12,4.92,1870000.0,4.72,7.387825842279708,-2.667825842279708,148
56,DKI Jakarta,2011,77.97,3.79,3.75,125533.82,117672.92,1224218.48,1147558.23,11.69,1290000.0,3.75,5.021194689733954,-1.2711946897339539,56
94,Jambi,2016,69.62,3.02,8.37,49494.98,37728.8,171199.47,130501.13,4.0,1906650.0,8.370000000000001,8.393799383667593,-0.023799383667592267,94
347,Sulawesi Utara,2016,71.05,3.02,8.2,41246.25,30679.97,100513.84,74764.66,6.18,2400000.0,8.2,6.755101475536043,1.444898524463956,347
83,Indonesia,2016,70.18,3.02,10.7,47937.72,36468.62,12401728.5,9434613.4,5.61,1997819.0,10.699999999999998,10.155861957085174,0.5441380429148239,83
372,Sumatera Selatan,2019,70.02,2.72,12.71,53359.1,37125.75,453402.71,315464.75,4.53,2804453.0,12.710000000000003,8.364768107751855,4.345231892248147,372
151,Kalimantan Selatan,2018,70.17,3.13,4.65,41046.28,30614.85,171684.06,128052.58,4.35,2454671.0,4.65,5.990417465098473,-1.340417465098473,151
299,Sulawesi Barat,2012,61.01,4.3,13.24,18688.25,17169.06,22626.21,20786.89,2.16,1127000.0,13.240000000000002,13.642100442122938,-0.4021004421229364,299
307,Sulawesi Barat,2020,66.11,1.68,10.87,32836.75,22666.22,46465.91,32074.02,3.32,2678863.0,10.869999999999997,11.998103708379997,-1.1281037083799994,307
33,Bengkulu,2010,72.92,6.96,18.3,16463.68,16463.68,28352.57,28352.57,4.59,780000.0,18.300000000000004,17.478438363231415,0.821561636768589,33
91,Jambi,2013,67.76,8.38,8.42,39553.64,34012.1,129976.04,111766.13,4.76,1300000.0,8.419999999999998,7.4562268529543845,0.9637731470456137,91
373,Sumatera Selatan,2020,70.01,1.68,12.66,53842.74,37323.24,454607.4,315129.22,5.51,3043111.0,12.660000000000002,8.463199526331135,4.196800473668867,373
379,Sumatera Utara,2015,69.51,3.35,10.79,41019.54,31637.41,571722.01,440955.85,6.71,1625000.0,10.79,9.030913745505876,1.7590862544941235,379
247,Nusa Tenggara Barat,2015,65.19,3.35,16.54,21851.53,18475.14,105664.74,89337.99,5.69,1330000.0,16.54,13.340771869791633,3.1992281302083665,247
114,Jawa Tengah,2014,68.78,8.36,13.58,27517.84,22819.16,922471.18,764959.15,5.68,910000.0,13.579999999999997,11.767645504564218,1.8123544954357786,114
